"REF_DATE","GEO","DGUID","Population and dwelling counts (13)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Bauline","2021A00051001512","Private dwellings occupied by usual residents, 2016","","0","units","0","","8.8","163","","","","0"
"2021","Bauline","2021A00051001512","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","8.9","-1.2","","","","1"
"2021","Bauline","2021A00051001512","Land area in square kilometres, 2021","","0","units","0","","8.10","16.05","","","","2"
"2021","Bauline","2021A00051001512","Population density per square kilometre, 2021","","0","units","0","","8.11","25.7","","","","1"
"2021","Bauline","2021A00051001512","National population rank, 2021","","0","units","0","","8.12","3140","","","","0"
"2021","Bauline","2021A00051001512","Province/territory population rank, 2021","","0","units","0","","8.13","178","","","","0"
"2021","Bay Bulls","2021A00051001557","Population, 2021","","0","units","0","","9.1","1566","","","","0"
"2021","Bay Bulls","2021A00051001557","Population, 2016","","0","units","0","","9.2","1500","","","","0"
"2021","Bay Bulls","2021A00051001557","Population percentage change, 2016 to 2021","","0","units","0","","9.3","4.4","","","","1"
"2021","Bay Bulls","2021A00051001557","Total private dwellings, 2021","","0","units","0","","9.4","631","","","","0"
"2021","Bay Bulls","2021A00051001557","Total private dwellings, 2016","","0","units","0","","9.5","589","","","","0"
"2021","Bay Bulls","2021A00051001557","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","9.6","7.1","","","","1"
"2021","Bay Bulls","2021A00051001557","Private dwellings occupied by usual residents, 2021","","0","units","0","","9.7","597","","","","0"
"2021","Bay Bulls","2021A00051001557","Private dwellings occupied by usual residents, 2016","","0","units","0","","9.8","566","","","","0"
"2021","Bay Bulls","2021A00051001557","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","9.9","5.5","","","","1"
"2021","Bay Bulls","2021A00051001557","Land area in square kilometres, 2021","","0","units","0","","9.10","30.60","","","","2"
"2021","Bay Bulls","2021A00051001557","Population density per square kilometre, 2021","","0","units","0","","9.11","51.2","","","","1"
"2021","Bay Bulls","2021A00051001557","National population rank, 2021","","0","units","0","","9.12","1624","","","","0"
"2021","Bay Bulls","2021A00051001557","Province/territory population rank, 2021","","0","units","0","","9.13","55","","","","0"
"2021","Bay Roberts","2021A00051001409","Population, 2021","","0","units","0","","10.1","5974","","","","0"
"2021","Bay Roberts","2021A00051001409","Population, 2016","","0","units","0","","10.2","6012","","","","0"
"2021","Bay Roberts","2021A00051001409","Population percentage change, 2016 to 2021","","0","units","0","","10.3","-0.6","","","","1"
"2021","Bay Roberts","2021A00051001409","Total private dwellings, 2021","","0","units","0","","10.4","2803","","","","0"
"2021","Bay Roberts","2021A00051001409","Total private dwellings, 2016","","0","units","0","","10.5","2658","","","","0"
"2021","Bay Roberts","2021A00051001409","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","10.6","5.5","","","","1"
"2021","Bay Roberts","2021A00051001409","Private dwellings occupied by usual residents, 2021","","0","units","0","","10.7","2490","","","","0"
"2021","Bay Roberts","2021A00051001409","Private dwellings occupied by usual residents, 2016","","0","units","0","","10.8","2413","","","","0"
"2021","Bay Roberts","2021A00051001409","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","10.9","3.2","","","","1"
"2021","Bay Roberts","2021A00051001409","Land area in square kilometres, 2021","","0","units","0","","10.10","24.51","","","","2"
"2021","Bay Roberts","2021A00051001409","Population density per square kilometre, 2021","","0","units","0","","10.11","243.7","","","","1"
"2021","Bay Roberts","2021A00051001409","National population rank, 2021","","0","units","0","","10.12","651","","","","0"
"2021","Bay Roberts","2021A00051001409","Province/territory population rank, 2021","","0","units","0","","10.13","14","","","","0"
"2021","Bay de Verde","2021A00051001347","Population, 2021","","0","units","0","","11.1","347","","","","0"
"2021","Bay de Verde","2021A00051001347","Population, 2016","","0","units","0","","11.2","392","","","","0"
"2021","Bay de Verde","2021A00051001347","Population percentage change, 2016 to 2021","","0","units","0","","11.3","-11.5","","","","1"
"2021","Bay de Verde","2021A00051001347","Total private dwellings, 2021","","0","units","0","","11.4","200","","","","0"
"2021","Bay de Verde","2021A00051001347","Total private dwellings, 2016","","0","units","0","","11.5","216","","","","0"
"2021","Bay de Verde","2021A00051001347","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","11.6","-7.4","","","","1"
"2021","Bay de Verde","2021A00051001347","Private dwellings occupied by usual residents, 2021","","0","units","0","","11.7","157","","","","0"
"2021","Bay de Verde","2021A00051001347","Private dwellings occupied by usual residents, 2016","","0","units","0","","11.8","173","","","","0"
"2021","Bay de Verde","2021A00051001347","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","11.9","-9.2","","","","1"
"2021","Bay de Verde","2021A00051001347","Land area in square kilometres, 2021","","0","units","0","","11.10","13.24","","","","2"
"2021","Bay de Verde","2021A00051001347","Population density per square kilometre, 2021","","0","units","0","","11.11","26.2","","","","1"
"2021","Bay de Verde","2021A00051001347","National population rank, 2021","","0","units","0","","11.12","3358","","","","0"
"2021","Bay de Verde","2021A00051001347","Province/territory population rank, 2021","","0","units","0","","11.13","203","","","","0"
"2021","Bishop's Cove","2021A00051001394","Population, 2021","","0","units","0","","12.1","252","","","","0"
"2021","Bishop's Cove","2021A00051001394","Population, 2016","","0","units","0","","12.2","287","","","","0"
"2021","Bishop's Cove","2021A00051001394","Population percentage change, 2016 to 2021","","0","units","0","","12.3","-12.2","","","","1"
"2021","Bishop's Cove","2021A00051001394","Total private dwellings, 2021","","0","units","0","","12.4","147","","","","0"
"2021","Bishop's Cove","2021A00051001394","Total private dwellings, 2016","","0","units","0","","12.5","147","","","","0"
"2021","Bishop's Cove","2021A00051001394","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","12.6","0.0","","","","1"
"2021","Bishop's Cove","2021A00051001394","Private dwellings occupied by usual residents, 2021","","0","units","0","","12.7","115","","","","0"
"2021","Bishop's Cove","2021A00051001394","Private dwellings occupied by usual residents, 2016","","0","units","0","","12.8","125","","","","0"
"2021","Bishop's Cove","2021A00051001394","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","12.9","-8.0","","","","1"
"2021","Bishop's Cove","2021A00051001394","Land area in square kilometres, 2021","","0","units","0","","12.10","1.90","","","","2"
"2021","Bishop's Cove","2021A00051001394","Population density per square kilometre, 2021","","0","units","0","","12.11","132.4","","","","1"
"2021","Bishop's Cove","2021A00051001394","National population rank, 2021","","0","units","0","","12.12","3671","","","","0"
"2021","Bishop's Cove","2021A00051001394","Province/territory population rank, 2021","","0","units","0","","12.13","240","","","","0"
"2021","Branch","2021A00051001219","Population, 2021","","0","units","0","","13.1","177","","","","0"
"2021","Branch","2021A00051001219","Population, 2016","","0","units","0","","13.2","228","","","","0"
"2021","Branch","2021A00051001219","Population percentage change, 2016 to 2021","","0","units","0","","13.3","-22.4","","","","1"
"2021","Branch","2021A00051001219","Total private dwellings, 2021","","0","units","0","","13.4","142","","","","0"
"2021","Branch","2021A00051001219","Total private dwellings, 2016","","0","units","0","","13.5","174","","","","0"
"2021","Branch","2021A00051001219","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","13.6","-18.4","","","","1"
"2021","Branch","2021A00051001219","Private dwellings occupied by usual residents, 2021","","0","units","0","","13.7","96","","","","0"
"2021","Branch","2021A00051001219","Private dwellings occupied by usual residents, 2016","","0","units","0","","13.8","108","","","","0"
"2021","Branch","2021A00051001219","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","13.9","-11.1","","","","1"
"2021","Branch","2021A00051001219","Land area in square kilometres, 2021","","0","units","0","","13.10","16.18","","","","2"
"2021","Branch","2021A00051001219","Population density per square kilometre, 2021","","0","units","0","","13.11","10.9","","","","1"
"2021","Branch","2021A00051001219","National population rank, 2021","","0","units","0","","13.12","3944","","","","0"
"2021","Branch","2021A00051001219","Province/territory population rank, 2021","","0","units","0","","13.13","278","","","","0"
"2021","Brigus","2021A00051001446","Population, 2021","","0","units","0","","14.1","699","","","","0"
"2021","Brigus","2021A00051001446","Population, 2016","","0","units","0","","14.2","723","","","","0"
"2021","Brigus","2021A00051001446","Population percentage change, 2016 to 2021","","0","units","0","","14.3","-3.3","","","","1"
"2021","Brigus","2021A00051001446","Total private dwellings, 2021","","0","units","0","","14.4","506","","","","0"
"2021","Brigus","2021A00051001446","Total private dwellings, 2016","","0","units","0","","14.5","446","","","","0"
"2021","Brigus","2021A00051001446","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","14.6","13.5","","","","1"
"2021","Brigus","2021A00051001446","Private dwellings occupied by usual residents, 2021","","0","units","0","","14.7","327","","","","0"
"2021","Brigus","2021A00051001446","Private dwellings occupied by usual residents, 2016","","0","units","0","","14.8","317","","","","0"
"2021","Brigus","2021A00051001446","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","14.9","3.2","","","","1"
"2021","Brigus","2021A00051001446","Land area in square kilometres, 2021","","0","units","0","","14.10","11.48","","","","2"
"2021","Brigus","2021A00051001446","Population density per square kilometre, 2021","","0","units","0","","14.11","60.9","","","","1"
"2021","Brigus","2021A00051001446","National population rank, 2021","","0","units","0","","14.12","2527","","","","0"
"2021","Brigus","2021A00051001446","Province/territory population rank, 2021","","0","units","0","","14.13","107","","","","0"
"2021","Bryant's Cove","2021A00051001375","Population, 2021","","0","units","0","","15.1","343","","","","0"
"2021","Bryant's Cove","2021A00051001375","Population, 2016","","0","units","0","","15.2","395","","","","0"
"2021","Bryant's Cove","2021A00051001375","Population percentage change, 2016 to 2021","","0","units","0","","15.3","-13.2","","","","1"
"2021","Bryant's Cove","2021A00051001375","Total private dwellings, 2021","","0","units","0","","15.4","149","","","","0"
"2021","Bryant's Cove","2021A00051001375","Total private dwellings, 2016","","0","units","0","","15.5","162","","","","0"
"2021","Bryant's Cove","2021A00051001375","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","15.6","-8.0","","","","1"
"2021","Bryant's Cove","2021A00051001375","Private dwellings occupied by usual residents, 2021","","0","units","0","","15.7","142","","","","0"
"2021","Bryant's Cove","2021A00051001375","Private dwellings occupied by usual residents, 2016","","0","units","0","","15.8","148","","","","0"
"2021","Bryant's Cove","2021A00051001375","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","15.9","-4.1","","","","1"
"2021","Bryant's Cove","2021A00051001375","Land area in square kilometres, 2021","","0","units","0","","15.10","4.90","","","","2"
"2021","Bryant's Cove","2021A00051001375","Population density per square kilometre, 2021","","0","units","0","","15.11","70.0","","","","1"
"2021","Bryant's Cove","2021A00051001375","National population rank, 2021","","0","units","0","","15.12","3370","","","","0"
"2021","Bryant's Cove","2021A00051001375","Province/territory population rank, 2021","","0","units","0","","15.13","206","","","","0"
"2021","Cape Broyle","2021A00051001126","Population, 2021","","0","units","0","","16.1","499","","","","0"
"2021","Cape Broyle","2021A00051001126","Population, 2016","","0","units","0","","16.2","489","","","","0"
"2021","Cape Broyle","2021A00051001126","Population percentage change, 2016 to 2021","","0","units","0","","16.3","2.0","","","","1"
"2021","Cape Broyle","2021A00051001126","Total private dwellings, 2021","","0","units","0","","16.4","314","","","","0"
"2021","Cape Broyle","2021A00051001126","Total private dwellings, 2016","","0","units","0","","16.5","291","","","","0"
"2021","Cape Broyle","2021A00051001126","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","16.6","7.9","","","","1"
"2021","Cape Broyle","2021A00051001126","Private dwellings occupied by usual residents, 2021","","0","units","0","","16.7","228","","","","0"
"2021","Cape Broyle","2021A00051001126","Private dwellings occupied by usual residents, 2016","","0","units","0","","16.8","211","","","","0"
"2021","Cape Broyle","2021A00051001126","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","16.9","8.1","","","","1"
"2021","Cape Broyle","2021A00051001126","Land area in square kilometres, 2021","","0","units","0","","16.10","10.09","","","","2"
"2021","Cape Broyle","2021A00051001126","Population density per square kilometre, 2021","","0","units","0","","16.11","49.5","","","","1"
"2021","Cape Broyle","2021A00051001126","National population rank, 2021","","0","units","0","","16.12","2944","","","","0"
"2021","Cape Broyle","2021A00051001126","Province/territory population rank, 2021","","0","units","0","","16.13","160","","","","0"
"2021","Carbonear","2021A00051001370","Population, 2021","","0","units","0","","17.1","4696","","","","0"
"2021","Carbonear","2021A00051001370","Population, 2016","","0","units","0","","17.2","4858","","","","0"
"2021","Carbonear","2021A00051001370","Population percentage change, 2016 to 2021","","0","units","0","","17.3","-3.3","","","","1"
"2021","Carbonear","2021A00051001370","Total private dwellings, 2021","","0","units","0","","17.4","2289","","","","0"
"2021","Carbonear","2021A00051001370","Total private dwellings, 2016","","0","units","0","","17.5","2166","","","","0"
"2021","Carbonear","2021A00051001370","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","17.6","5.7","","","","1"
"2021","Carbonear","2021A00051001370","Private dwellings occupied by usual residents, 2021","","0","units","0","","17.7","2094","","","","0"
"2021","Carbonear","2021A00051001370","Private dwellings occupied by usual residents, 2016","","0","units","0","","17.8","1982","","","","0"
"2021","Carbonear","2021A00051001370","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","17.9","5.7","","","","1"
"2021","Carbonear","2021A00051001370","Land area in square kilometres, 2021","","0","units","0","","17.10","12.44","","","","2"
"2021","Carbonear","2021A00051001370","Population density per square kilometre, 2021","","0","units","0","","17.11","377.4","","","","1"
"2021","Carbonear","2021A00051001370","National population rank, 2021","","0","units","0","","17.12","769","","","","0"
"2021","Carbonear","2021A00051001370","Province/territory population rank, 2021","","0","units","0","","17.13","17","","","","0"
"2021","Chance Cove","2021A00051001281","Population, 2021","","0","units","0","","18.1","213","","","","0"
"2021","Chance Cove","2021A00051001281","Population, 2016","","0","units","0","","18.2","256","","","","0"
"2021","Chance Cove","2021A00051001281","Population percentage change, 2016 to 2021","","0","units","0","","18.3","-16.8","","","","1"
"2021","Chance Cove","2021A00051001281","Total private dwellings, 2021","","0","units","0","","18.4","129","","","","0"
"2021","Chance Cove","2021A00051001281","Total private dwellings, 2016","","0","units","0","","18.5","150","","","","0"
"2021","Chance Cove","2021A00051001281","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","18.6","-14.0","","","","1"
"2021","Chance Cove","2021A00051001281","Private dwellings occupied by usual residents, 2021","","0","units","0","","18.7","111","","","","0"
"2021","Chance Cove","2021A00051001281","Private dwellings occupied by usual residents, 2016","","0","units","0","","18.8","123","","","","0"
"2021","Chance Cove","2021A00051001281","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","18.9","-9.8","","","","1"
"2021","Chance Cove","2021A00051001281","Land area in square kilometres, 2021","","0","units","0","","18.10","18.14","","","","2"
"2021","Chance Cove","2021A00051001281","Population density per square kilometre, 2021","","0","units","0","","18.11","11.7","","","","1"
"2021","Chance Cove","2021A00051001281","National population rank, 2021","","0","units","0","","18.12","3819","","","","0"
"2021","Chance Cove","2021A00051001281","Province/territory population rank, 2021","","0","units","0","","18.13","257","","","","0"
"2021","Chapel Arm","2021A00051001289","Population, 2021","","0","units","0","","19.1","446","","","","0"
"2021","Chapel Arm","2021A00051001289","Population, 2016","","0","units","0","","19.2","457","","","","0"
"2021","Chapel Arm","2021A00051001289","Population percentage change, 2016 to 2021","","0","units","0","","19.3","-2.4","","","","1"
"2021","Chapel Arm","2021A00051001289","Total private dwellings, 2021","","0","units","0","","19.4","241","","","","0"
"2021","Chapel Arm","2021A00051001289","Total private dwellings, 2016","","0","units","0","","19.5","244","","","","0"
"2021","Chapel Arm","2021A00051001289","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","19.6","-1.2","","","","1"
"2021","Chapel Arm","2021A00051001289","Private dwellings occupied by usual residents, 2021","","0","units","0","","19.7","204","","","","0"
"2021","Chapel Arm","2021A00051001289","Private dwellings occupied by usual residents, 2016","","0","units","0","","19.8","192","","","","0"
